region,year,pop_density,language
Algeria,2020,18.411,Arabic
Benin,2020,107.513,French
Burkina Faso,2020,76.401,French
Burundi,2020,463.037,French
Cameroon,2020,56.157,French
Central African Rep.,2020,7.753,French
Chad,2020,13.045,French
Comoros,2020,467.273,French
Congo,2020,16.158,French
Côte d'Ivoire,2020,82.951,French
Djibouti,2020,42.623,Arabic
Egypt,2020,102.802,Arabic
Eritrea,2020,35.113,Arabic
Ghana,2020,136.56,Hausa
Kenya,2020,94.478,Swahili
Libya,2020,3.905,Arabic
Madagascar,2020,47.596,French
Mali,2020,16.596,French
Mauritania,2020,4.511,Arabic
Morocco,2020,82.703,Arabic
Mozambique,2020,39.746,Swahili
Niger,2020,19.11,Hausa
Nigeria,2020,226.336,Hausa
Rwanda,2020,525.019,Swahili
Somalia,2020,25.334,Arabic
Sudan,2020,24.843,Arabic
Tunisia,2020,76.072,Arabic
Uganda,2020,228.922,Swahili
Tanzania,2020,67.435,Swahili
Angola,2020,26.363,Portuguese
Botswana,2020,4.149,
Eswatini,2020,67.451,
Equatorial Guinea,2020,50.017,French
Ethiopia,2020,114.964,
Gabon,2020,8.638,French
Gambia,2020,238.801,
Guinea,2020,53.446,French
Guinea-Bissau,2020,69.986,Portuguese
Lesotho,2020,70.562,
Liberia,2020,52.509,
Malawi,2020,202.906,
Namibia,2020,3.086,
Sao Tome and Principe,2020,228.293,Portuguese
Senegal,2020,86.968,French
Seychelles,2020,213.783,
Sierra Leone,2020,110.515,
S. Sudan,2020,18.322,
Togo,2020,152.211,French
Zambia,2020,24.73,
Zimbabwe,2020,38.42,
Dem. Rep. Congo,2020,39.506,Swahili
Sub-Saharan Africa,2020,50.019,Swahili
W. Sahara,2020,2.246,Arabic
South Africa,2020,48.891,
